CodigoInterno,NombreInvima,DescripcionComercial,PrincipioActivo,CodigoInvima,Cum
3778,TOLAK® E 300/200,CAJA CON FRASCO EN PEAD BLANCO Y TAPA DE SEGURIDAD EN PP BLANCA POR 30 TABLETAS RECUBIERTAS,EMTRICITABINA,INVIMA 2023M-0014075-R2,20055566-1
3779,TOLAK® E 300/200,CAJA CON FRASCO EN PEAD BLANCO Y TAPA DE SEGURIDAD EN PP BLANCA POR 30 TABLETAS RECUBIERTAS,TENOFOVIR DISOPROXIL FUMARATO,INVIMA 2023M-0014075-R2,20055566-1
3780,TRUSTIVA ®,CAJA X 1 FRASCO PEAD X 30 TABLETAS RECUBIERTAS,EFAVIRENZ,INVIMA 2014M-0014978,20064176-1
3781,TRUSTIVA ®,CAJA X 1 FRASCO PEAD X 30 TABLETAS RECUBIERTAS,EMTRICITABINA,INVIMA 2014M-0014978,20064176-1
3782,TRUSTIVA ®,CAJA X 1 FRASCO PEAD X 30 TABLETAS RECUBIERTAS,TENOFOVIR DISOPROXIL FUMARATE,INVIMA 2014M-0014978,20064176-1
2091,PROLEVO® 125 MCG,CAJA PLEGADIZA POR 60 CÁPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLÍSTER ALUMINIO/ ALUMINIO POR 10 CÁPSULAS BLANDAS CADA UNO.,LEVOTIROXINA SÓDICA PENTAHIDRATADA. 0.14000 MG. EQUIVALENTE A 0.125 MG (125 MCG) DE LEVOTIROXINA SÓDICA,INVIMA 2024M-0021702,20233848-15
2092,RETSEVMO ® 40MG,CAJA POR 60 CAPSULAS EN BLISTER DE ALUMINIO / ALUMINIO,SELPERCATINIB,INVIMA 2025M-0022016,20232107-4
2093,RETSEVMO ® 80 MG,CAJA POR 60 CÁPSULAS EN BLÍSTER DE ALUMINIO,SELPERCATINIB,INVIMA 2025M-0021872,20232108-4
2094,IBONE D 30000,IUM 2C1016001000102 CAJA DE CARTON CON BLISTER LAMINADO DE ALU/ALU MAS PAPEL ALUMINIO POR 1 TABLETAS RECUBIERTAS.,ACIDO IBANDRONICO,INVIMA 2023M-0018361-R1,20117306-2
2095,IBONE D 30000,IUM 2C1016001000102 CAJA DE CARTON CON BLISTER LAMINADO DE ALU/ALU MAS PAPEL ALUMINIO POR 1 TABLETAS RECUBIERTAS.,VITAMINA D3(COLECALCIFEROL),INVIMA 2023M-0018361-R1,20117306-2
2096,NEO ZENTIUS® 10 MG,CAJA X30 TABLETAS DE LIBERACIÓN RETARDADA EN BLISTER DE ALUMINIO Y PVC/PE/PVDC,ESCITALOPRAM OXALATO 12.77MG EQUIVALENTE A ESCITALOPRAM,INVIMA 2023M-0005665-R2,19965864-20
2097,ADVIL®MAX,CAJA POR 72 CÁPSULAS EN BLISTER ALUMINIO/PVC/PVDC (CADA BLISTER POR 72 CÁPSULAS).,IBUPROFENO,INVIMA 2019M-0003510-R2,19944048-15
2098,BAVENCIO®,CAJA CON VIAL DE VIDRIO TIPO I POR 10 ML. TAPON DE HALOBUTILO Y SELLO DE ALUMINIO,AVELUMAB,INVIMA 2019M-0019524,20131917-1
2099,LEVOCAPONE 50/12.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030881000100),LEVODOPA,INVIMA 2019M-0019341,20147960-1
2100,LEVOCAPONE 50/12.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030881000100),ENTACAPONE,INVIMA 2019M-0019341,20147960-1
2101,LEVOCAPONE 50/12.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030881000100),CARBIDOPA MONOHIDRATO EQUIVALENTE A CARBIDOPA ANHIDRA,INVIMA 2019M-0019341,20147960-1
2102,LEVOCAPONE 150/37.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030941000100),LEVODOPA,INVIMA 2020M-0019539,20149322-1
2103,LEVOCAPONE 150/37.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030941000100),CARBIDOPA MONOHIDRATO EQUIVALENTE A CARBIDOPA ANHIDRA,INVIMA 2020M-0019539,20149322-1
2104,LEVOCAPONE 150/37.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030941000100),ENTACAPONE,INVIMA 2020M-0019539,20149322-1
2105,LEVOCAPONE 200/50/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL. POR 30 TABLETAS (IUM 2C1030901000100),ENTACAPONE,INVIMA 2020M-0019537,20148063-1
2106,LEVOCAPONE 200/50/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL. POR 30 TABLETAS (IUM 2C1030901000100),LEVODOPA,INVIMA 2020M-0019537,20148063-1
2107,LEVOCAPONE 200/50/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL. POR 30 TABLETAS (IUM 2C1030901000100),CARBIDOPA MONOHIDRATO EQUIVALENTE A CARBIDOPA ANHIDRA,INVIMA 2020M-0019537,20148063-1
2108,FLEMALIS ® JARABE,CAJA CON FRASCO DE VIDRIO AMBAR CON TAPA PLASTICA EN POLIPROPILENO POR 120ML,N-ACETILCISTEINA,INVIMA 2020M-0007833-R1,19976208-1
2109,FLEMALIS ® JARABE,CAJA CON FRASCO DE VIDRIO AMBAR CON TAPA PLASTICA EN POLIPROPILENO POR 120ML,GUAYACOLATO DE GLICERILO,INVIMA 2020M-0007833-R1,19976208-1
2110,FIXAMICIN HC GOTAS OTICAS,CAJA PLEGADIZA CON FRASCO GOTERO PEBD POR 10 ML,HIDROCORTISONA,INVIMA 2023M-0003164-R2,19943525-2
2111,FIXAMICIN HC GOTAS OTICAS,CAJA PLEGADIZA CON FRASCO GOTERO PEBD POR 10 ML,CIPROFLOXACINA CLORHIDRATO MONOHIDRATO EQUIVALENTE A CIPROFLOXACINA BASE,INVIMA 2023M-0003164-R2,19943525-2
2112,TRANEXAM® 500 MG,PRESENTACION COMERCIAL: FOIL DE LAMINADO PVC AMBAR / FOIL ALUMINIO / CAJA X 10 TABLETAS MAS INSERTO.,ACIDO TRANEXAMICO,INVIMA 2021M-0007702-R1,19983141-4
2113,FIBRINEXAM®,CAJA POR 100 TABLETAS EN DIEZSIN DATO(10) BLISTER PVC/PVDC/ALUMINIO COLOR BLANCO PORSIN DATO10 TABLETAS,ACIDO TRANEXAMICO,INVIMA 2018M-0018597,20124854-4
2114,TRAZODONA 50 MG TABLETAS,CAJA POR 50 TABLETASSIN DATOEN BLISTER PVC/ALUMINIO.,TRAZODONA CLORHIDRATO,INVIMA 2021M-002634-R3,17135-1
2115,TRAZODONA 50 MG TABLETAS,CAJA POR 50 TABLETASSIN DATOEN BLISTER PVC/ALUMINIO.,TRAZODONA CLORHIDRATO,INVIMA 2021M-002634-R3,17135-1
2116,ROSUVASTATINA TABLETAS RECUBIERTAS POR 40 MG,CAJA POR 25 BLISTER CON 10 TABLETAS RECUBIERTAS,ROSUVASTATINA CÁLCICA 41.66 MG EQUIVALENTE A ROSUVASTATICA BASE,INVIMA 2022M-0016426-R1,20089355-25
2117,ROSUVASTATINA TABLETAS RECUBIERTAS 20 MG,CAJA POR 250 TABLETAS EN BLISTER POR 10 TABLETAS RECUBIERTAS,ROSUVASTATINA CÁLCICAEQUIVALENTE A ROSUVASTATINABASE,INVIMA 2022M-0016835-R1,20078974-42
2118,ROSUVASTATINA TABLETAS RECUBIERTAS POR 40 MG,CAJA POR 100 BLISTER CON 10 TABLETAS RECUBIERTAS,ROSUVASTATINA CÁLCICA 41.66 MG EQUIVALENTE A ROSUVASTATICA BASE,INVIMA 2022M-0016426-R1,20089355-30
2119,PROLEVO® 112 MCG,CAJA PLEGADIZA POR 60 CÁPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLÍSTER ALUMINIO/ ALUMINIO POR 10 CÁPSULAS BLANDAS CADA UNO.,LEVOTIROXINA SÓDICA PENTAHIDRATADA. 0.12500 MG. EQUIVALENTE A 0.112 MG (112 MCG) DE LEVOTIROXINA SÓDICA,INVIMA 2024M-0021695,20235352-15
2120,PROLEVO 200 MCG,CAJA POR 60 CÁPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLÍSTER ALUMINIO/ALUMINIO POR 6 BLISTER DE 10 CÁPSULAS BLANDAS CADA UNO,LEVOTIROXINA SODICA PENTAHIDRATADA 0.223 MG EQUIVALENTE A LEVOTIROXINA SODICA,INVIMA 2024M-0021630,20234895-14
3783,VALKIR® 450 TABLETAS RECUBIERTAS,USO INSTITUCIONAL: CAJA PLEGADIZA CON FRASCO PEAD BLANCO CON TAPA DE SEGURIDAD DE POLIPROPILENO BLANCA CON BOLSA DE SILICA GEL MINIPAX POR 60 TABLETAS.,VALGANCICLOVIR CLORHIDRATO 496. 3 MG EQUIVALENTE A VALGANCICLOVIR BASE,INVIMA 2023M-0016045-R1,20087717-9
3784,LOVIR ® 200/50,IUM 2L1002751004103: CAJA PLEGADIZA CON FRASCO PEAD BLANCO CON TAPA DE SEGURIDAD EN PP Y UNA BOLSA DE SÍLICA GEL POR 120 TABLETAS RECUBIERTAS C/U.,LOPINAVIR,INVIMA 2022M-0017499-R1,20107973-4
3785,LOVIR ® 200/50,IUM 2L1002751004103: CAJA PLEGADIZA CON FRASCO PEAD BLANCO CON TAPA DE SEGURIDAD EN PP Y UNA BOLSA DE SÍLICA GEL POR 120 TABLETAS RECUBIERTAS C/U.,RITONAVIR,INVIMA 2022M-0017499-R1,20107973-4
3786,GRALIDEX® 0.5 MG CAPSULA,1A1001061005100: CAJA DE CARTULINA CON UN FRASCO DE POLIETILENO DE ALTADENSIDAD BLANCO POR 100 CAPSULAS DURAS,ANAGRALIDA CLORHIDRATO MONOHIDRATO 0.61MG EQUIVALENTE A,INVIMA 2019M-19508,20157006-1
3787,DARUNAX 600 TABLETAS RECUBIERTAS,1D1002411014101 DARUNAVIR 600.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (DARUNAX) TABLETA 1.0000U / CAJA X 60. CAJA PLEGADIZA CON 1 FRASCO EN POLIETILENO DE ALTA DENSIDAD PEAD POR 60 TABLETAS RECUBIERTAS + 1 BOLSA DE SÍLICA.,CADA TABLETA CONTIENE: 650.46 MG DE DARUNAVIR ETANOLATO. EQUIVALENTE A DARUNAVIR,INVIMA 2021M-0016505-R1,20087722-2
3788,FIRIALTA® 20MG TABLETAS RECUBIERTAS,CAJA CON 28 TABLETAS RECUBIERTAS (2 BLÍSTER CON 14 TABLETAS C/U) EN BLÍSTER AL/PVC/PVDC,FINERENONA MICRONIZADO,INVIMA 2024M-0021607,20202924-1
3789,FIRIALTA® 10 MG TABLETAS RECUBIERTAS,CAJA CON 28 TABLETAS RECUBIERTAS (2 BLÍSTER CON 14 TABLETAS C/U) EN BLÍSTER AL/PVC/PVDC,FINERENONA MICRONIZADA,INVIMA 2024M-0021588,20202931-1
3790,DIFENHIDRAMINA HCL SOLUCION INYECTABLE 10 MG/ ML,CAJA PLEGADIZA POR 25 AMPOLLAS DE VIDRIO TIPO I CON PIROGRABADO COLOR VERDE POR 1ML. CADA UNA Y CUNA TERMOFORMADA EN PET.,DIFENHIDRAMINACLORHIDRATO,INVIMA 2017M-0005582-R1,19962547-2
3791,DIFENHIDRAMINA HCL SOLUCION INYECTABLE 10 MG/ ML,CAJA PLEGADIZA POR 10 AMPOLLAS DE VIDRIO TIPO I CON PIROGRABADO COLOR VERDE POR 5ML. CADA UNA Y CUNA TERMOFORMADA EN PET,DIFENHIDRAMINACLORHIDRATO,INVIMA 2017M-0005582-R1,19962547-1
3792,DOLOTRIN GEL,TUBO COLAPSIBLE DE ALUMINIO POR 30 GRAMOS CON TAPA PEAD BLANCA,MENTOL,INVIMA 2019M-0012696-R1,20013599-3
3793,DOLOTRIN GEL,TUBO COLAPSIBLE DE ALUMINIO POR 30 GRAMOS CON TAPA PEAD BLANCA,SALICILATO DE METILO,INVIMA 2019M-0012696-R1,20013599-3
3794,DOLPIRIN EXTRA FUERTE TABLETAS,CAJA POR 48 TABLETAS EN FOILS DE PET/ALUMINIO/PEBD POR 4 TABLETAS,ACIDO ACETIL SALICILICO,INVIMA 2016M-0011695-R1,20017287-4
3795,DOLPIRIN EXTRA FUERTE TABLETAS,CAJA POR 48 TABLETAS EN FOILS DE PET/ALUMINIO/PEBD POR 4 TABLETAS,CAFEINA ANHIDRA,INVIMA 2016M-0011695-R1,20017287-4
3796,DOLPIRIN EXTRA FUERTE TABLETAS,CAJA POR 48 TABLETAS EN FOILS DE PET/ALUMINIO/PEBD POR 4 TABLETAS,ACETAMINOFÉN GRÁNULOS DC 90% 277.78 MG EQUIVALENTES A ACETAMINOFÉN (*),INVIMA 2016M-0011695-R1,20017287-4
3797,ATLETIC´S,FRASCO ALUMINIO CON RECUBRIMIENTO INTERIOR EPOXICO DORADO CON VALVULA ALUMINIO CON EMPAQUE EXTERIOR Y TAPA EN PP POR 200 ML.,SALICILATO DE METILO,INVIMA 2021M-0020308,20159746-5
3798,ATLETIC´S,FRASCO ALUMINIO CON RECUBRIMIENTO INTERIOR EPOXICO DORADO CON VALVULA ALUMINIO CON EMPAQUE EXTERIOR Y TAPA EN PP POR 200 ML.,MENTOL,INVIMA 2021M-0020308,20159746-5
3799,ATLETIC´S AEROSOL,ENVASE DE ALUMINIO POR 90ML,DICLOFENACO DIETILAMONIO 0.9547 G EQUIVALENTE A DICLOFENACO POTÁSICO (1.0%P/V),INVIMA 2015M-0016374,20084713-1
3800,METICOM® CÁPSULAS,CAJA POR 40 CÁPSULAS EN BLISTER PVC / ALU X 10 UNIDADES C / U.,SIMETICONA,INVIMA 2020M-014578-R3,47414-1
3801,METICOM® CÁPSULAS,CAJA POR 40 CÁPSULAS EN BLISTER PVC / ALU X 10 UNIDADES C / U.,CARBON ACTIVADO,INVIMA 2020M-014578-R3,47414-1
3802,FLUVOXAMINA MALEATO 100 MG TABLETA RECUBIERTA,1F1037751000100 FLUVOXAMINA 100.0 MG TABLETAS DE LIBERACIÓN NO MODIFICADA ORAL (GENFAR) TABLETA 1 U/CAJA X 30. CAJA POR 30 TABLETAS RECUBIERTAS EN TRES (3) BLÍSTER DE PVC/PVDC TRANSPARENTE/ALUMINIO POR 10 TABLETAS CADA UNO.,FLUVOXAMINA MALEATO,INVIMA 2021M-0020579,20204101-1
3803,FLUVOXAMINA MALEATO 100 MG TABLETAS RECUBIERTAS,1F1037751001102 FLUVOXAMINA 100.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (HUMAX PHARMACEUTICAL) TABLETA 1.0000U / CAJA X 30 (NA) CAJA PLEGADIZA X 3 FOIL DE ALUMINIO PEBD POR 10 TABLETAS CADA UNO,FLUVOXAMINA MALEATO,INVIMA 2022M-0020647,20205863-3
3804,SI-METICON TABLETAS,CAJA PLEGADIZA CON 2 BLISTER EN PVC/ ALUMINIO TRANSPARENTE POR 10 TABLETAS C/U.,SIMETICONA,INVIMA 2021M-0007447-R1,19973504-1
3805,DIGESTA ®,CAJA POR 20 CAPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLISTER PVC /ALUMINIO POR 10 CAPSULAS CADA UNO.,SIMETICONA,INVIMA 2016 M-003893 R-2,1980366-2
3806,LABINPINA,CAJA X 100 GRAGEAS EN BLISTER PVC TRANSPARENTE/ALUMINIO X 10 GRAGEAS,N- BUTIL BROMURO DE HIOSCINA,INVIMA 2016M-0005256-R1,19955212-15
3807,N-BUTILBROMURO DE HIOSCINA10MG TABLETAS,CAJA POR 100 TABLETAS EN BLISTER ALUMINIO/PVC,HIOSCINA N-BUTILBROMURO,INVIMA 2015M-0004065R-1,19949535-2
3808,ENALAPRIL MALEATO 5 MG TABLETAS,CAJA PLEGADIZA POR 50 TABLETAS EN BLÍSTER PVC/PE/PVDC BLANCO/ALUMINIO POR 10 TABLETAS CADA BLÍSTER.,ENALAPRIL MALEATO,INVIMA 2018M-012662-R3,43757-5
3809,TETMODIS,CAJA CON FRASCO PEAD POR 112 TABLETAS,TETRABENAZINA,INVIMA 2023M-0012812-R2,20034891-2
3810,BISINTEX,CAJA PLEGADIZA POR UN VIAL DE VIDRIO TIPO I CON TAPÓN DE GOMA DE CLOROBUTILO DE COLOR GRIS SELLADO CONSIN DATOTAPA FLIP OFF DE ALUMINIO POR 440MG DE TRASTUZUMAB MÁS UN VIAL DE VIDRIO TIPO I CON UN TAPÓN DE GOMA DE CLOROBUTILO CON CIERRE FLIP OFF CON 20ML DESIN DATODILUENTE (AGUA BACTERIOSTATICA PARA INYECCIÓN).,TRASTUZUMAB,INVIMA 2019MBT-0000002,20143846-1
3811,HERCEPTIN® POLVO LIOFILIZADO PARA INFUSIÓN 150MG,CAJA POR 1 VIAL DE 15 ML DE VIDRIO INCOLORO TIPO I. CON 150 MG DE POLVO CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN.,TRASTUZUMAB,INVIMA 2015MBT-0015733,20067211-1
3812,TRAZIMERA® 440MG POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN,CAJA CON 1 VIAL DE 30 ML DE VIDRIO TRANSPARENTE TIPO I. CON 440 MG DE POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA INFUSIÓN + 1 VIAL CON 20 ML DE SOLVENTE,TRASTUZUMAB,INVIMA 2019MBT-0019215,20144826-1
3813,HERTICAD®,CAJA DE CARTON CON UN VIAL DE VIDRIO TIPO I CON TAPON DESIN DATOBROMOBUTILO Y SELLO DE ALUMINIO CON POLVO PARA RECONSTITUIR A SOLUCION INYECTABLE.,TRASTUZUMAB,INVIMA 2021M-0020093,20130360-1
3814,IRTAL® 20 MG TABLETAS,CAJA POR 1 TABLETA RECUBIERTA EN 1 BLISTER DE PVC/PVDC TRANSPARENTE/FOIL ALUMINIO RESPECTIVAMENTE POR 1 TABLETA RECUBIERTA.,TADALAFILO,INVIMA 2014M-0014995,20065416-1
3815,REBIF® 44 MCG/0.5ML MULTIDOSIS,CAJA POR 4 CARTUCHOS EN VIDRIO TIPO I CON TAPON EMBOLO HALOBUTILO Y TAPON CORRUGADO ALUMINIO CONT. 1.5 ML DE LA SOLUCION INYECT.,INTERFERON-B-1A,INVIMA 2010MBT-0010711,20013593-1
3816,ANEMIDOX® GOTAS PEDIATRICAS,COMERCIAL: CAJA CON FRASCO PET AMBAR POR 30 ML. CON TAPON GOTERO DE PEBD Y TAPA DE POLIPROPILENO BLANCA.,HIERRO BISGLICINA QUELATO 33.3 MG EQUIVALENTE A HIERRO ELEMENTAL,INVIMA 2019M-0003265-R2,19941984-3
3817,ANEMIDOX® SUSPENSION,CAJA PLEGADIZA CON UNSIN DATOFRASCO PETSIN DATOÁMBARSIN DATOXSIN DATO120 ML,HIERRO BISGLICINA QUELATO 3 GEQUIVALENTE A HIERRO ELEMENTAL,INVIMA 2019M-0003280-R2,19941982-4
3818,ASTONIN® H TABLETAS,CAJA PLEGADIZA CONTENIENDOSIN DATOTUBO DE POLIPROPILENO BLANCO X 50 TABLETAS.,FLUDROCORTISONA,INVIMA 2019 M-012722-R2,27649-1
3819,CEBION® 1 G TABLETAS EFERVESCENTES,CAJA PLEGADIZA CON TUBO DE POLIPROPILENO PRE-IMPRESO CON LAMINADO DE PAPEL SULFITO Y ALUMINIO CON TAPA TAMPER PROF BLANCA POR 10 TABLETAS EFERVESCENTES.,ACIDO ASCORBICO,INVIMA 2010 M-004037 R3,38635-5
3820,CEBION®500MG TABLETAS MASTICABLES,CAJA DISPENSADORA POR 100 TABLETAS EN TIRAS DE PAPEL POUCH/POLIETILENO/ALUMINIO POLIETILENO (FOIL) POR 10 TABLETAS,ACIDO ASCORBICO 260MG +ASCORBATO DE SODIO 290MGEQUIVALENTES A VITAMINA C,INVIMA 2016M- 0007923-R3,4098-4
3821,ASTONIN® H TABLETAS,CAJA PLEGADIZA X 5 BLISTER DE ALUMINIO/ALUMINIO X 10 TABLETAS CADA UNO.,FLUDROCORTISONA,INVIMA 2019 M-012722-R2,27649-3
3822,CONCOR® 10 MG TABLETAS RECUBIERTAS CON PELICULA,CAJA POR 30 TABLETAS CUBIERTAS CON PELICULA (RECUBIERTAS) ENVASADAS EN FRASCO BLANCO PEAD,BISOPROLOL FUMARATO,INVIMA 2023M-010766-R4,34017-12
3823,CONCOR® 2.5 MG TABLETAS,CAJA X 30 TABLETAS RECUBIERTAS EN FRASCO PEAD,BISOPROPOL FUMARATO,INVIMA 2021M-014655-R3,19908192-7
3824,CONCOR® AM 5 MG/5MG,PRESENTACION COMERCIAL : CAJA POR 30 TABLETAS EN BLISTER ALU/ALU,AMLODIPINO BESILATOEQUIVALENTE A AMLODIPINO BASE,INVIMA 2023M-0014446-R2,20051245-6
3825,CONCOR® AM 5 MG/5MG,PRESENTACION COMERCIAL : CAJA POR 30 TABLETAS EN BLISTER ALU/ALU,BISOPROLOL FUMARATO,INVIMA 2023M-0014446-R2,20051245-6
3826,CONCOR ® AM 5 MG / 10 MG,CAJA POR 30 TABLETAS EN BLISTER AL/AL,BISOPROLOL FUMARATO,INVIMA 2023M-0014354-R2,20040649-3
3827,CONCOR ® AM 5 MG / 10 MG,CAJA POR 30 TABLETAS EN BLISTER AL/AL,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO,INVIMA 2023M-0014354-R2,20040649-3
3828,CONCOR® 5 MG TABLETAS CUBIERTAS CON PELÍCULA,CAJASIN DATOXSIN DATO30SIN DATO TABLETAS CUBIERTAS CON PELÍCULA ENVASADAS ENSIN DATOFRASCOSIN DATOBLANCO PEAD,BISOPROLOL FUMARATO,INVIMA 2023M-010765-R4,34016-2
3829,ANEMIKIDS® SOLUCIÓN,USO INSTITUCIONAL:SIN DATOCAJA QUE CONTIENE FRASCO PET AMBAR POR 120ML,HIERRO GLICINATO QUELATO EQUIVALENTE A HIERRO ELEMENTAL A,INVIMA 2016M-0016726,20092846-12
3830,ANEMIKIDS® GOTAS,USO INSTITUCIONAL PROHIBIDA SU VENTA: CAJA POR UN FRASCO DE VIDRIO AMBAR POR 30 ML CON GOTERO AIREADOR,HIERRO GLICINATO QUELATO EQUIVALENTE A HIERRO ELEMENTAL,INVIMA 2015M-0016684,20093039-5
3831,BOOSTRIX® VACUNA ADSORBIDA DTPA,CAJA CON 1 JERINGA PRELLENADA DE VIDRIO TIPO I TIPO LLA O CCT CON TAPÓN DE CAUCHO FM27 CONTENIENDO 0.5 ML DE SUSPENSION INYECTABLE MAS 2 AGUJAS HIPODERMICAS.,TOXOIDE TETANICO,INVIMA 2021MB-13946-R2,19904509-1
3832,BOOSTRIX® VACUNA ADSORBIDA DTPA,CAJA CON 1 JERINGA PRELLENADA DE VIDRIO TIPO I TIPO LLA O CCT CON TAPÓN DE CAUCHO FM27 CONTENIENDO 0.5 ML DE SUSPENSION INYECTABLE MAS 2 AGUJAS HIPODERMICAS.,PERTACTINA,INVIMA 2021MB-13946-R2,19904509-1
3833,BOOSTRIX® VACUNA ADSORBIDA DTPA,CAJA CON 1 JERINGA PRELLENADA DE VIDRIO TIPO I TIPO LLA O CCT CON TAPÓN DE CAUCHO FM27 CONTENIENDO 0.5 ML DE SUSPENSION INYECTABLE MAS 2 AGUJAS HIPODERMICAS.,TOXOIDEDIFTERICO,INVIMA 2021MB-13946-R2,19904509-1
3834,BOOSTRIX® VACUNA ADSORBIDA DTPA,CAJA CON 1 JERINGA PRELLENADA DE VIDRIO TIPO I TIPO LLA O CCT CON TAPÓN DE CAUCHO FM27 CONTENIENDO 0.5 ML DE SUSPENSION INYECTABLE MAS 2 AGUJAS HIPODERMICAS.,TOXOIDE PERTUSSIS,INVIMA 2021MB-13946-R2,19904509-1
3835,BOOSTRIX® VACUNA ADSORBIDA DTPA,CAJA CON 1 JERINGA PRELLENADA DE VIDRIO TIPO I TIPO LLA O CCT CON TAPÓN DE CAUCHO FM27 CONTENIENDO 0.5 ML DE SUSPENSION INYECTABLE MAS 2 AGUJAS HIPODERMICAS.,HEMAGLUTININA FILAMENTOSA,INVIMA 2021MB-13946-R2,19904509-1
3836,DIP® TABLETA MASTICABLE MENTA,CAJA POR 30 TABLETASSIN DATOEN FOIL TETRACAPA DE PAPEL POUNCH/POLIETILENO / ALUMINIO / POLIETILENO DE SELLO POR 2 TABLETAS FOIL.,SUCRALFATO NO MICRONIZADO,INVIMA 2021M-002460-R3,21453-1
3837,DIP SUSPENSION,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 200 ML.,SUCRALFATO MICRONIZADO,INVIMA 2023M-013579-R4,41528-4
3838,DIP SUSPENSION,CAJA POR 20 SOBRES DE POLIESTER/ALUMINIO/POLIETILENO POR 5 ML.,SUCRALFATO MICRONIZADO,INVIMA 2023M-013579-R4,41528-5
3839,ENCEFABOL 600 MG,CAJA CON BLISTER PVC/PVDC/ALUMINIO POR 10 GRAGEAS.,PIRITINOL DICLORHIDRATO MONOHIDRATO,INVIMA 2022M-13463-R4,42184-3
3840,EUTIROX ® 125 MCG,CAJA DE CARTULINA CON 50 TABLETAS EN BLÍSTER DE ALUMINIO/ALUMINIO.,LEVOTIROXINA SODICA,INVIMA 2019M-006609-R2,206777-1
3841,EUTIROX® 137 MCG,CAJA POR 50 TABLETAS EN BLÍSTER ALU/ALU,LEVOTIROXINA SODICA,INVIMA 2023M-0007832-R2,19987943-1
3842,EUTIROX ® 200 MCG,CAJA DE CARTULINA CONSIN DATO50SIN DATOTABLETAS EN BLISTERSIN DATOALUMINIO/ALUMINIO,LEVOTIROXINA SÓDICA,INVIMA 2023M-0012538-R2,20030795-2
2840,ADORLAN® FORTE,2D1020671000103 DICLOFENACO 50.0000 MG/TRAMADOL 50.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ADORLAN FORTE) TABLETA 1.0000U / CAJA X 20 - CAJA PLEGADIZA POR 20 TABLETAS EN BLÍSTER DE ALUMINIO-FOLIO PVC/LDPE/PVDC TRANSPARENTE,TRAMADOL CLORHIDRATO,INVIMA 2023M-0018389-R1,20121750-3
2841,TEROTOL 4 MG,1T1018151003103 CAJA POR 30 CÁPSULAS DURA EN EMPAQUE INDIVIDUAL TIPO BLISTER PVC/PE/PVDC TRANSPARENTE - FOIL DE ALUMINIO POR 10 CAPSULAS CADA UNO.,TOLTERODINA L-TARTRATO,INVIMA 2023M-0018081-R1,20087007-6
